"whiskey_id","author_id","review"
0,12,"Floral with some hoppy aromas to start as well as lemon curd vanilla banana Runts ripe pears and amaretto. On the palate gentle oakiness underpins banana pudding whipped cream spiced plum amaretto ginger candy peaches and chai spices of cardamom clove and cinnamon. Well-structured and delicate—add water sparingly."
1,12,"Lots of confectionary notes on the nose: orange candy bubble gum marshmallow meringue nougat and banana pudding along with pine forest and clean mineral aromas. The chalky sweet palate brings to mind bagged marshmallows banana candy Toblerone zingy lemon peel and shelled pecans. More banana and lightly roasted nuts on the clean finish. Simple innocuous and easy to drink. Made with 100% malted barley and aged in toasted lightly charred barrels."
2,2,"Balcones has partnered with fellow Texan Spoetzl Brewery in the past supplying barrels for the Shiner bock and märzen-style beers. This is its first whiskey distilled from Spoetzl beer. Its dark hue hints at an earthy malty profile and the nose delivers rich malt spice dried fruit dried leaves and oak. Rustic on the palate with caramel and oak char. More malt on the finish with water bringing out some sweetness. (6000 bottles)"
3,8,"This malt whiskey shows some maple syrup and honey sweetness but its character comes from savory notes of earthiness and wet leaves. The easygoing palate offers some stone fruit and sweet overripe banana like a banana cream pie with graham cracker crust. But the finish circles back to savory and herbal suggesting youth. A creative if peculiar choice for Woodford crafted from 51% malted barley."
4,12,"Straight malt whiskey finished in barrels that previously held honey. The nose is enchanting perfumy with fresh flowers bubble gum cinnamon-dusted apple slices pink peppercorn sassafras and salt water taffy. The honey-barrel finish shows itself on the palate which has milk chocolate sugary chai lemon molasses pralines and of course unctuous honey. So syrupy and sweet it truly gives new meaning to “dessert whiskey.”"
5,9,"A rarity among the large American distillers: whiskey with a mashbill of 65% malted barley and 35% corn; no rye or wheat. The malted barley and corn dominate the flavor profile along with soft sweet notes of orchard fruit and golden raisin kissed with honey. The finish is soft sweet and quick. Clean with an easy-going demeanor. Not particularly complex however. If only the 35% corn was halved to include an equal amount of rye."
6,11,"Much darker in color than the Classic bottling (also reviewed this issue) as is expected. The nose warns of a wood-whelmed whiskey: dark bitter wood notes with a caramel underlay. The mouth is much hotter than the Classic bottling with bold oak spice in the front and a gooey caramel/toffee sweetness underneath…only it’s not as good as that sounds. It’s all rather one-dimensional including the hot oak finish. An interesting lesson in wood but not at $200 for the pair."
7,11,"Two malts: same distillation run same proof but this one was aged in used bourbon barrels. The color is much lighter than the new barrel bottling (also reviewed this issue) a pale straw. Nose is delicate notes of haymow planks clover honey fresh grain and sweet orange peel. Somewhat pedestrian on the palate: sweet malt dried hay more citrus and a touch of pepper with a somewhat bitter finish. No real flaws but no excitement either. Disappointing."
8,2,"A lively expressive nose greets with sweet notes of corn muffin grape jelly cinnamon sugar maple syrup cherry candy and balanced oak. The palate offers rich notes of sweet almond vanilla ice cream blackberry tart dark chocolate coconut flakes loads of baking spice and balanced rich oak. Excellent length and balance on a finish of dark chocolate tobacco leaf espresso and more spice and oak. Great sipping with water or without."
9,12,"The sweet vanilla almond and coconut aromas don’t prepare you for the chocolaty
richness of the palate but don’t stress; just enjoy the journey. It starts with Almond
Joy crème brûlée with fresh blackberries nougat and marzipan then progresses to
cacao nibs dried cranberries and cherries and a striking amaretto flavor. Everything
wraps up neatly—and lengthily—with cocoa powder black pepper mocha and
roasted walnuts. Don’t be shy about watering generously; this can quite a bit."
10,12,"Brownie batter toasted almonds maple syrup orange peel ginger raspberries and
strawberries on the nose with a touch of iced tea. The palate is oily and rich with
fruit especially after water is added; orange marmalade and cherry soda mingle with
semi-sweet chocolate and chicory coffee. Chicory mocha polished oak and cocoa
powder on the finish. Add water for more prominent fruit notes without losing the
rich character or stellar balance."
11,12,"A sweet and enticing nose of marzipan crème anglaise blueberry compote cooked
cherry brown sugar baking spice and vanilla bean. The palate showcases rich
chocolate with heaps of dark and cooked fruit: blackberry and blueberry preserves
Luxardo cherries as well as cinnamon dried ginger allspice and roasted
walnuts—everything seamlessly interwoven. Lengthy on the finish with mocha dark
chocolate polished oak and white pepper."
12,12,"Some whiskeys have already peaked at a quarter-century but this one distilled in Indiana and finished in sercial madeira casks is at its apex. Caramel-covered peanuts candied orange fresh-baked bread Toblerone cinnamon ginger snaps blueberry cobbler black tea and plenty of oak on the nose. The palate is supple and elegant with peanut brittle cherry cordial milk chocolate blueberry horehound candy cola white pepper ginger roasted pecans and refined oak. Leave plenty of time to enjoy the finish with its subtle white pepper and dark fruit undertones."
13,2,"Remarkably easy drinking considering its hyper-charged proof with an equally pronounced profile of balanced sweetness. The nose exudes caramel sauce blackberry compote cherry maple syrup semi-sweet chocolate and vanillin with earthy notes of warehouse floor and barrel char. The palate offers chocolate mousse rice pudding and cooked figs leading to a long finish of cooked plums dark berry tart and chocolate-covered marshmallows. Rich viscous and loaded with balanced sweet flavors"
14,12,"A curious character of tart fruit pervades this whiskey with an unusual finishing cask starting with underripe blackberries on the nose; there’s also citrus vanilla jasmine orange blossom almonds in the shell and a scattering of dried herbs. Tart and citric on the palate—lemon juice underripe berries Granny Smith apples red plums—yet a dark richness of coffee bean bitter chocolate and oak offer a pleasing juxtaposition. The lengthy finish retains the interplay of tart fruit and richness until the final exhale."
15,12,"The reticent nose reveals little at first but eventually a few aromas emerge: vanilla licorice tea furniture polish and a slightly tart note like gooseberry or kumquat. That’s borne out with the palate’s tart and citric character showcasing plum pear lemon gooseberry and kumquat with an herbal tinge toasted oak and a hint of almond. The finish is mouthwatering—almost mouth-puckering—and continues the tart fruit theme. This is an odd but intriguing whiskey showing great consistency and novelty."
16,12,"Distilled above 80% ABV from 99% corn and aged in used barrels this qualifies as light whiskey. Expressive nose of butterscotch brown sugar vanilla coconut cream candied pecan and maple syrup on hot pancakes. Gripped by its proof from the first sip you may find your mouth puckering from tannins and tingling with heat but the sweet flavors of dark caramel maple syrup and candied nuts offer softening balance. Generous watering is highly recommended; you won’t miss a single flavor but your tongue will recover more quickly from the high-octane ABV. (106 bottles)"
17,12,"The nose is sweet with vanilla cupcake crushed almonds pecan sandies Granny Smith apples and Chinese coconut jelly. There’s a rancio element that pervades through the palate and finish—a bit like toasted oak brown sugar and even mothballs—that gives the whiskey gravitas to counterbalance the marshmallow and lemon bar flavors. Mellow and sweet it has a lengthy finish that displays gentle finesse. (500 bottles)"
18,12,"Pastry shop aromas permeate the nose: blueberry crumble with crusted brown sugar
fresh-baked muffin boysenberry syrup and fragrant peaches nectarines and orange
peel. The palate pops with lively citrus a surprising but not unwelcome element that
plays well with toasted almond chestnut honey and nutty oak flavors. It finishes with
roasted peanuts bittersweet chocolate and tea leaf still retaining peppy citrus."
19,12,"The unusual cask finish lends a minty herbal note throughout from the nose—which
is honeyed and sweet also showcasing milk chocolate peanuts candy apple maple
syrup and a whiff of licorice—to the palate and finish. Overall this serves as a great
example of the importance of texture in whiskey; the mouthfeel is oleaginous and
almost fatty gliding over the palate and shedding flavors of chocolate-covered cherry
white pepper gingerbread and roasted walnuts. The finish is zingy with ginger white
pepper and tingling peppermint buttressed by bittersweet mocha cherry and dark
grapes."
20,2,"The mashbill consists of 51% malted oats 27% 6-row malted barley and 22% coffee malt. The nose is malty bitter and nutty offering fragrances of burnt coffee beans and mocha with undernotes of blackberry compote. A bitter yet delicious palate brings more burnt coffee beans chili pepper smoked meat toasty oatmeal and dark chocolate. A lengthy finish reprises those notes adding orange and strawberry when water is added. Dares to be different and succeeds magnificently—expressive and mouthwatering."
21,12,"A blend of two whiskeys: a high-rye bourbon and a whiskey made with 48% rye 40% corn and 12% malted barley. Dill tarragon spearmint iced tea cured tobacco leaf roasted nuts red apple black cherry and lemonade on the nose. A balanced and textured palate with iced tea dark fruit roasted pecans mild spice and rich chocolate flavors. More richness on the finish which is lengthy and lush with dark chocolate pecans and iced tea. This is well-proofed but a little water makes it sing. (3462 bottles)"
22,12,"Form a line sherry lovers: This blend of 10 year old corn and 5 and 11 year old ryes is driven by its finishing casks like many single malt scotches. Though the nose is reticent and hints at the luxe flavors the palate is a sherry bomb: brown sugar semi-sweet chocolate raisins hazelnuts nougat and figs with sprinklings of spice and subtle saline. Drying tannin and mouth-puckering saltiness on the finish with raisins and chocolate. The sherry is the point here but it integrates splendidly with the muscular whiskey. (1887 bottles)"
23,12,"Made with a mashbill of malted barley malted wheat oats and rye aged in new charred oak and finished in a port-style wine cask. The result of this complex recipe is an equally complex sensory experience with tropical and candied fruit on the nose including dried mango slices pineapple chunks raspberry and blackberry jelly candies and grape jam as well as matcha rose petals and dark chocolate. Floral flavors run almost to soapy but are tempered by cedar layered spice nuts chocolate and tobacco. A lovely finish with persistent dark fruit spices and lengthy bitter-sweetness."
24,2,"The nose offers aromas of fragrant oak baked apple caramel clove cinnamon bananas and creamy vanilla set against an herbal back note of tarragon. The palate offers cigar box slate chocolate caramel and chili pepper. Water coaxes fruit notes of blackberry lemon and cherry as well as chocolate-nut cake. A long finish has notes of tobacco warm chocolate syrup and toasted almonds. Rich layered complex and eminently pleasurable."
25,12,"The nose indicates the partial base of whiskey distilled from beer (it’s blended with straight rye) right away with citrusy pine aromas as well as brown sugar milk chocolate almond nougat and peanut brittle. The palate has a mineral quality dry with chamomile and tobacco but remains true to the lemon and pine essence that the nose outlines. There’s also dark-roast coffee chocolate black pepper and tea leaf. Medium-length on the finish with consistent lemon chocolate coffee and oak flavors. (900 bottles)"
26,2,"The nose begins with notes of earthiness and tobacco followed by banana crème brûlée cherry hard candy and cocoa powder. With water fragrant apple clementine coconut bubble gum and cotton candy notes emerge. The palate is also candied with cherry raspberry pastilles grape jelly milk chocolate and cracked pepper. On the finish it’s chocolate cream pie almond and a halo of tobacco leaf. A veritable chocolate factory balanced against a tart espresso note and tobacco."
27,12,"An eclectic blend of whiskey distilled from beer as well as rye and malt whiskeys; it proved divisive among Whisky Advocate’s blind tasters. The nose is resinous with pine needles biscuity malt macadamia nuts grapefruit oil and tropical fruit. Oily on the palate with assertive hops pineapple brown sugar nuts bread dough and reticent spice. The finish is floral hoppy and pleasantly savory with nuts grapefruit and lemon. This whiskey knows exactly what it is—unconventional—and it’s not afraid to show it. (1338 bottles)"
28,8,"Honey crackers cornbread and floral notes introduce this highly distinctive whiskey. The palate is sweet and oily in texture with a nice warming ginger note. The mouthfeel is creamy and polished as vanilla and marshmallow carry through the finish with only a gentle impression of wood. Made from 99% corn and 1% barley and aged in used casks."
29,2,"Billed as a whiskey that combines elements of bourbon and rye the nose blends pine forest lime green cardamom coriander orange cinnamon and raisins. The palate is a balance of freshly baked cinnamon buns chocolate pistachio baked apple cloves and cracked pepper. The finish is punctuated by sweet vanilla syrup and bitter orange pipe tobacco and light pepper. Smooth and pleasant it perhaps could use more aging but is well executed nonetheless."
30,13,"Same components as the No. 9 Iowa whiskey but selected from casks aged at least 4 years and bottled at a higher proof. A vibrant nose shows signs of lemon oil cake batter and sunflower seeds. There’s toasted oak wintergreen gum and vanilla on the palate with better balance achieved when water is added. The finish isn’t quite as lively as the rest of the experience with sweet oak and persistent hot spices."
31,12,"Made with corn and rye and aged in new American and French oak barrels. It’s appetizing on the nose with aromas of almond scone spread with orange marmalade along with cooked pumpkin and butterscotch pudding. More orange emerges on the sweet and candied palate as well as Big Red gum chocolate almonds and sweet grain; the oak is expressive but balanced. A clean and dry finish with almond milk chocolate and cinnamon candy."
32,13,"Made from 80% malted barley and 20% malted rye and aged in a stainless-steel cask with toasted mizunara oak staves and heads. Divisive among tasters with mint chocolate chip ice cream on the nose with saltwater taffy dried apple rings and seaweed. The palate diverts from the striking nose with dried tobacco stroopwafel and caramel M&Ms. The finish is bitter but bright with lemon and new oak. A highlight of the inventiveness among America’s craft distillers."
33,12,"A clean and inviting nose featuring fresh hay cooked corn Peanut Chews vanilla custard and black pepper. Chewy and mouth-filling texture with black cherry peanuts in Coke caramel peanut-butter molasses cookies and supple spices ending with more cherry and mature oak flavors. Straightforward uncomplicated and satisfying: a good all-rounder."
34,12,"Waxy and fragrant with citrus oil tea bag furniture polish dried flowers cooked apple and malt. At this proof the palate demands water which tames its heat to reveal candied rose petal dried ginger apple almond pistachio lemon pepper pine resin and some ashiness. It finishes waxy with charred pecans cigar end bitter oak and black pepper. There are some unusual juxtapositions here but they work. (302 bottles)"
35,13,"This whiskey blends 60% straight bourbon with 40% straight rye. The nose is zesty with citrus notes of lemon lime and a touch of grapefruit with additional fruit qualities like strawberries and cream watermelon candy and cherry juice. The palate mingles citrus and spice with orange marmalade cinnamon white pepper and fresh ginger. The finish is nutty and warm with persistent peppery spice and toasted oak. Its nuance shines brighter without water."
36,13,"Made with unmalted and malted barley triple distilled and matured in virgin white oak before a finish in Pedro Ximénez and amontillado sherry casks. There is a musty funkiness on the nose but underneath lurk aromas of banana Runts herbal cough syrup and fruit cocktail. The light and nimble palate buzzes with fizzy lemon sweet nuts cinnamon and allspice. Frozen chocolate-covered banana on the finish. It shares DNA with some American single malts."
37,12,"Distilled from corn oats wheat and barley at Copper Fox Distillery and blended by Founding Spirits. The nose has clean sweet applewood smoke raw peanuts oolong tea grain and treacle. On the palate there’s strong oak but it’s well-tempered by spice smoke savory nuts grilled apples and chalky saline minerality. The finish is savory and nutty—appetite-inducing—and overall it takes water well."
38,8,"A host of sweet confections awaits in this whiskey which appears to be Kentucky bourbon with some types of added flavoring. Big caramel gives way to angel food cake crème brûlée lemon chiffon and batter. But it doesn’t stray far enough to resemble a flavored whiskey delivering an oily texture and nice viscosity oozing with apple citrus grape soda and hints of leather. Not one for the purist but enjoyable all the same."
39,2,"An American whiskey from Indianapolis-based Hotel Tango. The nose has notes of slate herbs tea lemon peel bitter orange and vanilla wafer. The palate is somewhat green with raisin cinnamon candy vanillin grenadine bitter chocolate pecan and cracked pepper. The finish is long and flavorful offering orange cherry vanilla ice cream mocha and licorice. Perhaps too much wood influence but water balances it well creating a smooth complex and enjoyable whiskey."
